"","uniprot","genename"
"220","P04626","ERBB2"
"221","P47755","CAPZA2"
"222","Q8N3V7","SYNPO"
"223","P42345","MTOR"
"224","Q8TDY2","RB1CC1"
"225","O75385","ULK1"
"226","O75143","ATG13"
"227","Q14247","CTTN"
"228","Q14195","DPYSL3"
"229","P27694","RPA1"
"230","P15927","RPA2"
"231","Q16555","DPYSL2"
"232","P62995","TRA2B"
"233","Q9ULW0","TPX2"
"234","Q8TAD8","SNIP1"
"235","P19419","ELK1"
"236","Q8TAQ2","SMARCC2"
"237","Q9C005","DPY30"
"238","P49840","GSK3A"
"239","P51817","PRKX"
"240","O60573","EIF4E2"
"241","P19784","CSNK2A2"
"242","O75909","CCNK"
"243","Q14004","CDK13"
"244","P78527","PRKDC"
"245","P28370","SMARCA1"
"246","O14757","CHEK1"
"247","Q6NUS6","TCTN3"
"248","O15155","BET1"
"249","Q14684","RRP1B"
"250","P05771","PRKCB"
"251","P40424","PBX1"
"252","P55317","FOXA1"
"253","O00358","FOXE1"
"254","Q86VM9","ZC3H18"
"255","Q93034","CUL5"
"256","P56945","BCAR1"
"257","Q7Z3T8","ZFYVE16"
"258","Q9NYF8","BCLAF1"
"259","P06730","EIF4E"
"260","P55318","FOXA3"
"261","Q9Y2W1","THRAP3"
"262","Q13129","RLF"
"263","Q9NY12","GAR1"
"264","Q5UIP0","RIF1"
"265","Q13885","TUBB2A"
"266","Q9Y2K7","KDM2A"
"267","P31749","AKT1"
"268","Q08345","DDR1"
"269","Q9NZ32","ACTR10"
"270","P17482","HOXB9"
"271","Q15077","P2RY6"
"272","P60033","CD81"
"273","Q9BPX5","ARPC5L"
"274","Q15149","PLEC"
"275","P07948","LYN"
"276","P04114","APOB"
"277","O95425","SVIL"
"278","P17252","PRKCA"
"279","Q9UMX0","UBQLN1"
"280","P46109","CRKL"
"281","Q9NVD7","PARVA"
"282","P08631","HCK"
"283","Q13131","PRKAA1"
"284","Q13185","CBX3"
"285","P45973","CBX5"
"286","Q96T23","RSF1"
"287","P17096","HMGA1"
"288","Q13111","CHAF1A"
"289","Q9Y294","ASF1A"
"290","Q9GZZ9","UBA5"
"291","P23588","EIF4B"
"292","Q17R89","ARHGAP44"
"293","Q9BVC4","MLST8"
"294","Q6R327","RICTOR"
"295","Q9BPU6","DPYSL5"
"296","Q8WTQ7","GRK7"
"297","O75400","PRPF40A"
"298","Q04637","EIF4G1"
"299","P13639","EEF2"
"300","Q92609","TBC1D5"
"301","Q9BVW5","TIPIN"
"302","O43639","NCK2"
"303","P51116","FXR2"
"304","P24928","POLR2A"
"305","Q9HAW4","CLSPN"
"306","O60885","BRD4"
"307","Q68EM7","ARHGAP17"
"308","Q00765","REEP5"
"309","P26639","TARS"
"310","Q9UQ35","SRRM2"
"311","Q13427","PPIG"
"312","Q9NWX5","ASB6"
"313","Q9BRS2","RIOK1"
"314","P48059","LIMS1"
"315","Q96EQ0","SGTB"
"316","P54646","PRKAA2"
"317","Q15291","RBBP5"
"318","Q01973","ROR1"
"319","O00712","NFIB"
"320","P08651","NFIC"
"321","P85037","FOXK1"
"322","O14686","KMT2D"
"323","O00418","EEF2K"
"324","Q8TBE0","BAHD1"
"325","P35244","RPA3"
"326","Q9NUX5","POT1"
"327","Q9Y296","TRAPPC4"
"328","Q9Y5R8","TRAPPC1"
"329","Q9UL33","TRAPPC2L"
"330","O43617","TRAPPC3"
"331","Q8N6H7","ARFGAP2"
"332","Q969G3","SMARCE1"
"333","Q8IYT4","KATNAL2"
"334","Q9ULU4","ZMYND8"
"335","O95197","RTN3"
"336","P29590","PML"
"337","P35070","BTC"
"338","Q99075","HBEGF"
"339","Q8NDT2","RBM15B"
"340","O95486","SEC24A"
"341","P35613","BSG"
"342","Q7Z2Z1","TICRR"
"343","Q9UBL3","ASH2L"
"344","Q9P2D1","CHD7"
"345","Q9HCK8","CHD8"
"346","Q9UGI9","PRKAG3"
"347","O14641","DVL2"
"348","O75449","KATNA1"
"349","Q9BTK6","PAGR1"
"350","O75376","NCOR1"
"351","Q9UNS1","TIMELESS"
"352","P16070","CD44"
"353","Q15121","PEA15"
"354","Q96LT7","C9orf72"
"355","O00220","TNFRSF10A"
"356","P41229","KDM5C"
"357","Q9P2K6","KLHL42"
"358","Q8TEV9","SMCR8"
"359","Q6ZNE5","ATG14"
"360","Q9C0C7","AMBRA1"
"361","Q9NU22","MDN1"
"362","P22413","ENPP1"
"363","Q03468","ERCC6"
"364","P05305","EDN1"
"365","Q9UPW6","SATB2"
"366","Q9UJW0","DCTN4"
"367","Q9UIG0","BAZ1B"
"368","Q9HBI1","PARVB"
"369","P25686","DNAJB2"
"370","Q14117","DPYS"
"371","Q9Y3L3","SH3BP1"
"372","Q12866","MERTK"
"373","O14531","DPYSL4"
"374","Q8NG08","HELB"
"375","Q6STE5","SMARCD3"
"376","Q9H792","PEAK1"
"377","Q13542","EIF4EBP2"
"378","P01138","NGF"
"379","Q8WU20","FRS2"
"380","P49767","VEGFC"
"381","P01135","TGFA"
"382","Q92747","ARPC1A"
"383","P55157","MTTP"
"384","Q9Y2L5","TRAPPC8"
"385","P10412","HIST1H1E"
"386","P04792","HSPB1"
"387","P67809","YBX1"
"388","P16104","H2AFX"
"389","P16401","HIST1H1B"
"390","P40337","VHL"
"391","Q5T653","MRPL2"
"392","P38646","HSPA9"
"393","Q9Y6G3","MRPL42"
"394","Q7Z7H8","MRPL10"
"395","O43493","TGOLN2"
"396","Q15573","TAF1A"
"397","Q53T94","TAF1B"
"398","Q9H5J8","TAF1D"
"399","P20226","TBP"
"400","Q15572","TAF1C"
"401","Q9NZE8","MRPL35"
"402","Q9NV56","MRGBP"
"403","Q9H2F5","EPC1"
"404","Q9NPF5","DMAP1"
"405","O95251","KAT7"
"406","Q9Y265","RUVBL1"
"407","Q9H6Z9","EGLN3"
"408","P51149","RAB7A"
"409","Q96EB6","SIRT1"
"410","O43602","DCX"
"411","P40763","STAT3"
"412","O00213","APBB1"
"413","Q16543","CDC37"
"414","Q3V6T2","CCDC88A"
"415","Q9BX66","SORBS1"
"416","Q04206","RELA"
"417","P63151","PPP2R2A"
"418","P27348","YWHAQ"
"419","Q04917","YWHAH"
"420","Q15418","RPS6KA1"
"421","P38398","BRCA1"
"422","Q12888","TP53BP1"
"423","Q9H0E9","BRD8"
"424","Q9Y4A5","TRRAP"
"425","Q14978","NOLC1"
"426","P35637","FUS"
"427","P27635","RPL10"
"428","P62888","RPL30"
"429","P51151","RAB9A"
"430","Q53F19","NCBP3"
"431","Q6I9Y2","THOC7"
"432","Q8N163","CCAR2"
"433","Q96SB8","SMC6"
"434","Q9BZL6","PRKD2"
"435","Q8TDR0","TRAF3IP1"
"436","Q06787","FMR1"
"437","P01116","KRAS"
"438","Q9NYJ8","TAB2"
"439","P04049","RAF1"
"440","Q05513","PRKCZ"
"441","Q13546","RIPK1"
"442","Q9ULM6","CNOT6"
"443","P32969","RPL9"
"444","Q9Y5S2","CDC42BPB"
"445","P31321","PRKAR1B"
"446","Q9NP92","MRPS30"
"447","Q15154","PCM1"
"448","Q8N0Z3","SPICE1"
"449","O14879","IFIT3"
"450","Q13404","UBE2V1"
"451","Q92844","TANK"
"452","O75886","STAM2"
"453","Q96FJ2","DYNLL2"
"454","Q8NCN4","RNF169"
"455","P55201","BRPF1"
"456","Q14207","NPAT"
"457","Q08945","SSRP1"
"458","Q66LE6","PPP2R2D"
"459","P49790","NUP153"
"460","Q9BYD2","MRPL9"
"461","O00505","KPNA3"
"462","Q14197","MRPL58"
"463","Q92831","KAT2B"
"464","Q12962","TAF10"
"465","Q96B97","SH3KBP1"
"466","P61006","RAB8A"
"467","P51991","HNRNPA3"
"468","Q9UNL4","ING4"
"469","Q16644","MAPKAPK3"
"470","P62834","RAP1A"
"471","P30050","RPL12"
"472","P16989","YBX3"
"473","P08708","RPS17"
"474","P62906","RPL10A"
"475","P49207","RPL34"
"476","Q9UKZ1","CNOT11"
"477","Q96LI5","CNOT6L"
"478","Q9H9A5","CNOT10"
"479","Q9UFF9","CNOT8"
"480","Q9UBE8","NLK"
"481","O75293","GADD45B"
"482","Q8WYH8","ING5"
"483","O95707","POP4"
"484","P78346","RPP30"
"485","P26196","DDX6"
"486","Q9NP72","RAB18"
"487","Q9BUZ4","TRAF4"
"488","Q8WUM0","NUP133"
"489","Q9NR31","SAR1A"
"490","P23497","SP100"
"491","Q7KZI7","MARK2"
"492","Q9NVS2","MRPS18A"
"493","O43805","SSNA1"
"494","Q96S55","WRNIP1"
"495","O14733","MAP2K7"
"496","P52564","MAP2K6"
"497","P45985","MAP2K4"
"498","O95257","GADD45G"
"499","O14925","TIMM23"
"500","P49005","POLD2"
"501","O43318","MAP3K7"
"502","Q96CV9","OPTN"
"503","P63208","SKP1"
"504","P61026","RAB10"
"505","Q5VT25","CDC42BPA"
"506","O94806","PRKD3"
"507","O60293","ZFC3H1"
"508","Q9BUL9","RPP25"
"509","Q9ULZ3","PYCARD"
"510","Q13976","PRKG1"
"511","P57740","NUP107"
"512","Q10567","AP1B1"
"513","P61020","RAB5B"
"514","O75379","VAMP4"
"515","Q9NQ86","TRIM36"
"516","P62256","UBE2H"
"517","Q9Y4H2","IRS2"
"518","Q8NFH4","NUP37"
"519","Q9NRG9","AAAS"
"520","Q92973","TNPO1"
"521","Q9P2N5","RBM27"
"522","P05166","PCCB"
"523","Q9P2E2","KIF17"
"524","Q99962","SH3GL2"
"525","Q9P0L2","MARK1"
"526","P82930","MRPS34"
"527","Q96EL2","MRPS24"
"528","O75817","POP7"
"529","Q9BW92","TARS2"
"530","Q9UKL3","CASP8AP2"
"531","Q8WV22","NSMCE1"
"532","O95602","POLR1A"
"533","O15446","CD3EAP"
"534","Q00403","GTF2B"
"535","Q86VI3","IQGAP3"
"536","Q9UPP1","PHF8"
"537","Q96MG7","NSMCE3"
"538","P24723","PRKCH"
"539","P60568","IL2"
"540","Q8WUD1","RAB2B"
"541","Q9Y6R4","MAP3K4"
"542","Q9P2Y4","ZNF219"
"543","O60830","TIMM17B"
"544","Q14011","CIRBP"
"545","A2RTX5","TARSL2"
"546","O43768","ENSA"
"547","Q96GX5","MASTL"
"548","Q29RF7","PDS5A"
"549","Q9P1U0","ZNRD1"
"550","P46776","RPL27A"
"551","P01275","GCG"
"552","Q92794","KAT6A"
"553","Q8IYX4","DND1"
"554","Q8NEV1","CSNK2A3"
"555","Q9HCU8","POLD4"
"556","Q15054","POLD3"
"557","Q8N140","EID3"
"558","Q8N5C8","TAB3"
"559","Q9Y4R8","TELO2"
"560","Q9ULR5","PAIP2B"
"561","P01588","EPO"
"562","P56211","ARPP19"
"563","Q99828","CIB1"
"564","Q5T764","IFIT1B"
"565","Q96PC3","AP1S3"
"566","P16234","PDGFRA"
"567","P09619","PDGFRB"
"568","P02751","FN1"
"569","P03372","ESR1"
"570","P16403","HIST1H1C"
"571","Q00535","CDK5"
"572","P15923","TCF3"
"573","O00141","SGK1"
"574","Q8WZ42","TTN"
"575","P07305","H1F0"
"576","P11309","PIM1"
"577","O75460","ERN1"
"578","P01127","PDGFB"
"579","P46734","MAP2K3"
"580","Q99683","MAP3K5"
"581","Q05516","ZBTB16"
"582","P35555","FBN1"
"583","Q02535","ID3"
"584","P29279","CTGF"
"585","Q5VST9","OBSCN"
"586","P10451","SPP1"
"587","Q02363","ID2"
"588","O95382","MAP3K6"
"589","P08648","ITGA5"
"590","Q06455","RUNX1T1"
"591","Q969S3","ZNF622"
"592","P52926","HMGA2"
"593","Q5VWQ8","DAB2IP"
"594","P39905","GDNF"
"595","Q6A1A2","PDPK2P"
"596","P08620","FGF4"
"597","P04085","PDGFA"
"598","Q9NRA1","PDGFC"
"599","Q8IXL6","FAM20C"
"600","Q02818","NUCB1"
"601","O14788","TNFSF11"
"602","Q07002","CDK18"
"603","Q15349","RPS6KA2"
"604","Q9NRI5","DISC1"
"605","P04637","TP53"
"606","Q13224","GRIN2B"
"607","Q9UKE5","TNIK"
"608","P21926","CD9"
"609","P04040","CAT"
"610","Q9H4A3","WNK1"
"611","P43403","ZAP70"
"612","Q6VAB6","KSR2"
"613","Q06124","PTPN11"
"614","O94768","STK17B"
"615","O14796","SH2D1B"
"616","P52799","EFNB2"
"617","Q9P1W9","PIM2"
"618","Q96EY1","DNAJA3"
"619","Q9Y2R2","PTPN22"
"620","P22736","NR4A1"
"621","Q86Z02","HIPK1"
"622","P32456","GBP2"
"623","Q99640","PKMYT1"
"624","O14672","ADAM10"
"625","P21709","EPHA1"
"626","P61626","LYZ"
"627","O14682","ENC1"
"628","Q9H0H3","KLHL25"
"629","P07766","CD3E"
"630","O43852","CALU"
"631","P42768","WAS"
"632","P27918","CFP"
"633","Q9Y6W6","DUSP10"
"634","O60880","SH2D1A"
"635","Q96DU3","SLAMF6"
"636","P01024","C3"
"637","A0MZ66","SHTN1"
"638","P17927","CR1"
"639","P54851","EMP2"
"640","P54760","EPHB4"
"641","P08887","IL6R"
"642","P30273","FCER1G"
"643","Q9H0R5","GBP3"
"644","P98172","EFNB1"
"645","Q96PP9","GBP4"
"646","Q12860","CNTN1"
"647","Q9C0K7","STRADB"
"648","P54762","EPHB1"
"649","Q14515","SPARCL1"
"650","Q99217","AMELX"
"651","P54753","EPHB3"
"652","Q13316","DMP1"
"653","Q5EG05","CARD16"
