"","Gene","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ANP32A","ANP32A",-0.211533085564595,8.39300705404482,-4.47023999780622,0.000295734251374481,0.000792298844159436,-0.430123305729097
"NA..792","NA..792",1.04722313566625,1.67933427622521,4.46928106989411,0.000296360974347596,0.000793829954764494,-0.432253971758238
"UACA","UACA",0.254556934462102,6.55515536997083,4.46637988890581,0.000298265292989477,0.000798782014161089,-0.438700341673148
"TPGS1","TPGS1",0.367932814623799,4.00203825163321,4.46448605530276,0.000299515076184252,0.000801979648952284,-0.442908535752854
"IRF2","IRF2",-0.209031809538845,4.94527006305062,-4.46360378638648,0.00030009911500761,0.000803393831908641,-0.444869017068155
"GNAI3","GNAI3",-0.183472505546926,7.12924101198,-4.46235299341581,0.00030092908447247,0.000805465745368875,-0.447648430254405
"GAL3ST4","GAL3ST4",-0.982705574500163,1.66855092518962,-4.46136649725348,0.000301585318174671,0.000807071953477116,-0.449840575375423
"EXT2","EXT2",-0.146436275490732,7.42824526719631,-4.46124872981196,0.000301663755821382,0.000807131612448945,-0.450102274459144
"RNF219","RNF219",-0.420592717050173,3.9300001567331,-4.46003595165881,0.000302472715695435,0.000809145470941119,-0.452797294531677
"LMNA","LMNA",-0.395378974472266,10.4498377049401,-4.45893418917034,0.000303209529274523,0.000810965617274521,-0.455245652967935
"ALDH4A1","ALDH4A1",0.264369659975864,3.83044126808836,4.45869370903366,0.000303370594062556,0.000811245472515497,-0.455780057229449
"CAV2","CAV2",0.430934118431844,3.77721541914074,4.45832284920508,0.000303619152262556,0.000811759146908408,-0.456604199464621
"SEMA4F","SEMA4F",0.2014760198302,4.61578630740566,4.45810123350467,0.000303767782289846,0.000812005511007592,-0.457096686185237
"KALRN","KALRN",-0.857583227591606,2.82401164536244,-4.4571212571463,0.00030442590257389,0.000813583574577399,-0.459274460550115
"XRN2","XRN2",-0.186329596652424,7.93410735998161,-4.45702425793204,0.000304491122582569,0.000813583574577399,-0.459490020679937
"IDI1","IDI1",-0.260169145770449,5.59107859048607,-4.45696955670204,0.00030452790865338,0.000813583574577399,-0.45961158264875
"CERS6","CERS6",-0.408982796341505,3.39429072553675,-4.45597742495117,0.000305195889726691,0.000815216668656803,-0.461816401070349
"NA..644","NA..644",0.60142692814104,1.63772036713988,4.45468247470489,0.000306069984891158,0.000817399610402244,-0.464694215357484
"ARIH1","ARIH1",-0.191500838944588,6.41638211214131,-4.45379803442654,0.000306668441324918,0.000818845748976044,-0.466659765283751
"ETNK1","ETNK1",-0.353383823522164,6.07880022920228,-4.45356498643021,0.000306826330397964,0.000819115195134843,-0.46717768679436
"MICU2","MICU2",-0.212448943898058,5.93881354070631,-4.45342455637098,0.000306921510938875,0.000819217163248657,-0.467489776654194
"ANGPTL4","ANGPTL4",-2.29441611541971,0.508047921999216,-4.4527942248851,0.00030734910480862,0.000820081255255398,-0.468890623476252
"SIPA1","SIPA1",0.228447795961365,6.11162674105173,4.45277915472818,0.000307359335233451,0.000820081255255398,-0.468924115481693
"TRAPPC8","TRAPPC8",-0.20419635933263,5.27832414784335,-4.45268362648647,0.000307424192911286,0.000820102096361597,-0.469136418153142
"RBM38","RBM38",-0.294677570364232,4.5397110788994,-4.452225814202,0.000307735211123582,0.000820779479612731,-0.470153867032866
"CDK2","CDK2",-0.30314970552157,5.85005208219992,-4.45179906409081,0.000308025413951669,0.000821401103871116,-0.471102288037593
"MTHFD1","MTHFD1",-0.178168537581345,7.49370052301304,-4.45149967198127,0.000308229174931013,0.000821792028710727,-0.471767668139833
"ZNF526","ZNF526",-0.236973506074043,4.58955813812064,-4.44981354384411,0.00030937927558194,0.000824705445163354,-0.475515027287358
"L3MBTL1","L3MBTL1",1.04049621661202,1.93834955092057,4.44907454984228,0.000309884708889106,0.000825899624580977,-0.477157439196221
