"","Gene","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"NA..449","NA..449",-0.195129804546597,3.94208399267432,-1.02812272473132,0.31750926334316,0.38914979145236,-6.87656700660681
"MRPL38","MRPL38",-0.291386739092377,1.18991730473389,-1.02809021169614,0.317524141189217,0.38914979145236,-6.87660020855629
"TMCO3","TMCO3",-0.0482794490825862,6.41760880160028,-1.02781200033672,0.317651469964708,0.389272656398657,-6.87688427674449
"CLPTM1","CLPTM1",0.0408959398833177,7.36737649616416,1.02711990711584,0.317968377232678,0.389627803537077,-6.87759064329804
"EFR3A","EFR3A",-0.052229669434638,5.7549254579589,-1.02590553683714,0.318524976553897,0.390276575721369,-6.87882903587517
"RPP30","RPP30",-0.0663208292276778,5.28516776905447,-1.02581249788194,0.318567648935949,0.390295595798807,-6.87892386158024
"NA..903","NA..903",-0.281578817406196,0.274898099007198,-1.02565458633519,0.318640084474775,0.390351074086866,-6.87908478820767
"EMD","EMD",0.0578657459427552,6.10853365512862,1.02545710655214,0.318730686808546,0.3904227123594,-6.87928600756627
"CHGB","CHGB",-0.156452932170647,2.80728539637806,-1.02540874386576,0.318752878058033,0.3904227123594,-6.87933528082057
"NA..1040","NA..1040",-0.191735162971789,4.97016711596458,-1.02531829583918,0.318794383138473,0.39044028386426,-6.87942742624753
"VPS13A","VPS13A",0.0900812357137912,5.6598970939527,1.02513230381817,0.318879743817049,0.390511559512215,-6.87961688598968
"LINC01291","LINC01291",-0.121852132709666,2.04936759849767,-1.02483592056176,0.319015801885255,0.390644903569202,-6.87991873199035
"ZBTB11.AS1","ZBTB11.AS1",0.0812664255150435,2.92089194925227,1.0245676546409,0.319138987917446,0.390762464040645,-6.88019187548839
"TMPPE","TMPPE",0.212301807479675,1.28362722640041,1.02410479268993,0.31935161063986,0.390989503879971,-6.88066300359984
"FAM98C","FAM98C",0.0664789315400345,3.53626225357903,1.02395888297274,0.319418657346538,0.391038288172855,-6.88081147983577
"MOCS3","MOCS3",-0.0591104356557333,5.44567733254276,-1.02381727839109,0.319483735362774,0.391084654255385,-6.8809555572161
"UST","UST",0.0925167539179608,3.50654925297795,1.02346598635675,0.319645221260126,0.391249016673953,-6.88131290722739
"CA13","CA13",0.133415785903917,1.23394091114689,1.02290013707307,0.319905459061134,0.391531537367983,-6.88188828508923
"LCLAT1","LCLAT1",-0.0951666141397394,3.84210858372947,-1.0228456910797,0.319930507057714,0.391531537367983,-6.88194363299133
"PIGC","PIGC",-0.0567867072139299,5.16975081258518,-1.02271093978468,0.319992505665405,0.391574077412824,-6.88208060519645
"CLK2","CLK2",0.091817040206764,6.36117439057328,1.02236499315839,0.320151713552764,0.391735554858671,-6.88243218003016
"KCNK6","KCNK6",-0.141065921849197,1.66876840811355,-1.02168138675039,0.32046648085426,0.392087330107306,-6.8831265967991
"PLA2G7","PLA2G7",0.21012726614035,1.42933816669687,1.02091838537118,0.320818064773045,0.392484086390715,-6.88390117586972
"LOC403323","LOC403323",-0.139503405836944,0.693092001909667,-1.02022446160776,0.321138055735345,0.392842128084694,-6.88460518187434
"OVOS2","OVOS2",0.15287586803666,1.64768834375838,1.02015975010002,0.321167907856769,0.392845217676246,-6.88467081187366
"C16orf87","C16orf87",-0.0970844629853209,4.18712609178147,-1.019906314403,0.321284839429502,0.392954811267528,-6.88492780906302
"NA..333","NA..333",-0.123100346195683,3.05361653887162,-1.01853745749529,0.321916931735906,0.393694411793738,-6.88631491938401
"LOC440028","LOC440028",0.199876218998579,0.946174133808797,1.01798458342566,0.322172480005407,0.393973424001167,-6.88687469552389
"C16orf70","C16orf70",0.0688581679178535,4.35939229948912,1.01763127613717,0.322335860143822,0.394086399355785,-6.88723227171455
"PPP1CB","PPP1CB",0.0820699629300519,7.34212975020264,1.01761477313054,0.322343493074343,0.394086399355785,-6.88724897141895
"DHRS12","DHRS12",0.171559837932797,1.44090848437463,1.01760696567743,0.322347104203164,0.394086399355785,-6.88725687184429
"MBOAT2","MBOAT2",-0.0636357348886936,5.09814749614495,-1.01735815850658,0.322462198309619,0.394193585280535,-6.88750861356613
"CCDC14","CCDC14",0.132513532501639,6.10536816117609,1.01678631951227,0.322726831862981,0.394483541778948,-6.88808698923286
"STAM2","STAM2",-0.0662463319495643,4.82152983302787,-1.01565570945573,0.323250503631001,0.395090056129848,-6.88922967045949
"TRIM32","TRIM32",-0.0367856044661732,5.45155784173961,-1.01494876009399,0.323578251031098,0.395448108273819,-6.8899435919876
"NA..980","NA..980",0.257842078260861,0.377976803625541,1.01490517331876,0.323598465896856,0.395448108273819,-6.88998759412909
"BICRA","BICRA",0.0852536367214904,4.77289940465278,1.01452524123898,0.323774710274153,0.395629854220248,-6.89037107549021
"CLASP2","CLASP2",0.0420505828040616,6.52278356285483,1.01380516326043,0.324108928999908,0.396004586376226,-6.8910975291555
"MICAL1","MICAL1",-0.133715165125825,5.45620856274639,-1.01361453321919,0.324197449285915,0.396079079708873,-6.89128977008044
"METTL26","METTL26",-0.0639227434378213,6.16075522794721,-1.01317560693478,0.324401332474059,0.396294489772864,-6.89173228287511
"STK39","STK39",-0.0624031770434792,4.05090175580178,-1.01304769595735,0.324460764726248,0.396304670167429,-6.89186120686655
"RPS7","RPS7",-0.0833774444880984,9.44925243831734,-1.01303901132152,0.324464800213595,0.396304670167429,-6.89186995975571
"ZNF250","ZNF250",-0.0754368595611701,2.94224374717367,-1.01294633708054,0.32450786533557,0.396323598000522,-6.89196335816507
"ZNF22","ZNF22",-0.0902860982333742,3.68428350550705,-1.01252663401005,0.324702949191029,0.396528168329106,-6.89238624545174
"SEMA6A","SEMA6A",0.0981695441817561,2.94327731624864,1.01194482339235,0.324973519867272,0.396811326139,-6.89297221164727
"ND4","ND4",-0.365944604269465,11.3463783911268,-1.01188132370597,0.325003059990474,0.396811326139,-6.89303614669738
"UTRN","UTRN",-0.0953288055316808,6.39618355813278,-1.0118500178956,0.32501762418522,0.396811326139,-6.89306766582822
"MRPL28","MRPL28",0.0434532070027931,7.1817546663994,1.01158645424036,0.32514025842796,0.396927339942286,-6.89333299094023
"EID2","EID2",-0.0552815739341534,4.89805508993315,-1.011118683317,0.325357989242816,0.397159416944444,-6.89380373625925
"SRSF5","SRSF5",-0.142771151684325,6.95792226405703,-1.01098175137598,0.325421745683293,0.397203516381645,-6.8939415021515
"ZNF462","ZNF462",0.0771449359478336,5.82846784854103,1.01087830176467,0.325469918370355,0.397228588716549,-6.89404557075965
