"","Gene","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"TRIM65","TRIM65",0.202071761695622,15.606581355477,1.89270976798076,0.0660791838268266,0.160885618198808,-5.14740544596569
"CISD3","CISD3",-0.121254945373835,15.7623086312273,-1.89255949761696,0.0660997491479005,0.160885618198808,-5.14766910256149
"ABLIM1","ABLIM1",0.223579819061934,15.5277114812352,1.89238978821902,0.0661229814014564,0.160885618198808,-5.14796684511815
"CTSF","CTSF",-0.382376567725414,14.3456741966345,-1.8923851748731,0.0661236130400071,0.160885618198808,-5.14797493858405
"LIMCH1","LIMCH1",-0.307511029381219,15.3888511148863,-1.89193361458378,0.066185463666606,0.160955758899551,-5.14876705877546
"SPIN3","SPIN3",0.619364094592768,16.7808743938166,1.89188561528973,0.0661920410876123,0.160955758899551,-5.1488512492382
"U2AF1","U2AF1",0.318864406305977,16.827543050059,1.8913137784387,0.0662704439080139,0.16107479026907,-5.1498541119664
"RILPL1","RILPL1",0.133360327872737,16.308459203509,1.89096318734867,0.066318551724266,0.16107479026907,-5.15046883976756
"KRT81","KRT81",-0.587019234107569,18.8390582140573,-1.89080646899004,0.0663400661607633,0.16107479026907,-5.15074359994601
"KRT86","KRT86",-0.587019234107569,18.8390582140573,-1.89080646899004,0.0663400661607633,0.16107479026907,-5.15074359994601
"KRT83","KRT83",-0.587019234107569,18.8390582140573,-1.89080646899004,0.0663400661607633,0.16107479026907,-5.15074359994601
"BDH2","BDH2",0.205517888542808,15.1557878040211,1.89049361855099,0.0663830324312778,0.161114809550389,-5.15129203623921
"WDCP","WDCP",-0.180072069871006,15.6489225665924,-1.89039786378613,0.0663961879682377,0.161114809550389,-5.15145988227406
"PUM2","PUM2",-0.355529347346572,16.3720692998136,-1.89006219378065,0.0664423225718587,0.161168477065239,-5.15204821408597
"GRPEL2","GRPEL2",-0.169438913250644,15.6312167723127,-1.88994848240705,0.0664579573284144,0.161168477065239,-5.15224749747388
"SAP30BP","SAP30BP",-0.155957159208686,16.6811255552475,-1.88956299499404,0.0665109834109987,0.161248966342979,-5.1529230047916
"NOL8","NOL8",-0.126200486625102,16.5048486244965,-1.889315245884,0.06654508189841,0.161283533319074,-5.15335708691545
"SNAPC5","SNAPC5",-0.250764305871508,15.3488800779842,-1.88862703357118,0.0666398812940865,0.161444978802851,-5.15456265971457
"KIF22","KIF22",0.198441876421395,14.7881576658396,1.88853393618071,0.0666527140863166,0.161444978802851,-5.15472571480615
"GTF2H3","GTF2H3",0.32902430878611,14.3607963343585,1.8883993110049,0.0666712749220285,0.161444978802851,-5.15496149185388
"ARNT2","ARNT2",-0.187198444026382,15.5933059219215,-1.88759163627115,0.0667827223764185,0.161645150707439,-5.15637572912103
"ZNF22","ZNF22",0.134887025531407,15.3203568259272,1.88751207655995,0.066793709094143,0.161645150707439,-5.15651501103267
"PROCR","PROCR",0.397353262545025,15.9311374891451,1.88732554623772,0.0668194738783051,0.161650617832475,-5.15684154298529
"OAT","OAT",0.186001723919158,17.372008429738,1.88720781896221,0.0668357395171545,0.161650617832475,-5.1570476175703
"COPB2","COPB2",-0.183958578679849,18.5063893183315,-1.8861540738192,0.0669814799100044,0.161954922721126,-5.15889166294631
"AKR1A1","AKR1A1",-0.194638924133148,16.676900950077,-1.8857088507726,0.0670431391160855,0.16205580668292,-5.1596705440115
"TGFA","TGFA",-0.33080971284233,14.7377050186659,-1.8852491940547,0.0671068482223969,0.162161584185453,-5.16047451625159
"Q5JXB2","Q5JXB2",-0.252088213507271,17.5588775238182,-1.8849361270675,0.0671502694359654,0.162218288334313,-5.16102199995452
"WDR4","WDR4",0.189932212162207,15.7934222721291,1.88450306253384,0.0672103734989669,0.16231524841744,-5.16177920854159
"HPRT1","HPRT1",-0.237098237029205,16.4341043067438,-1.88368362454914,0.06732422747436,0.162541920148225,-5.1632115935199
"MEF2D","MEF2D",0.177583111389511,14.8160782986571,1.88323887884731,0.0673860902029903,0.162625871251547,-5.16398879749684
"PIK3CA","PIK3CA",0.161121478283446,15.2353275036036,1.88314603246514,0.0673990109787752,0.162625871251547,-5.16415102968226
"GPKOW","GPKOW",-0.196843058599651,16.5748904421281,-1.88179678607673,0.0675870154707633,0.163031112392236,-5.16650784655569
"APBB1","APBB1",-0.24879116606048,14.7962185084564,-1.88101916528197,0.0676955731274232,0.163244530985708,-5.16786553332717
"ILKAP","ILKAP",0.119176800205089,16.9077057093742,1.88073427779548,0.0677353813960886,0.163292086408305,-5.16836281642241
"GMPS","GMPS",0.115174241694195,18.069166385673,1.88041402792564,0.0677801548743077,0.163297076470101,-5.16892175169299
"PHRF1","PHRF1",0.126180546973629,16.2161621181672,1.88025677903444,0.0678021487855594,0.163297076470101,-5.16919617093045
"NOS1AP","NOS1AP",-0.142444287202277,16.2885677030796,-1.88016104213,0.0678155421969614,0.163297076470101,-5.16936323466422
"PDE6D","PDE6D",-0.700758735418631,15.5556844789989,-1.88014487495084,0.0678178041780124,0.163297076470101,-5.16939144617645
"TOX3","TOX3",0.200065567167265,16.5943576885917,1.8778335881892,0.0681418455405507,0.163962448383869,-5.17342254605978
"PSMA3","PSMA3",0.196022640664424,18.3329113976445,1.87774683520125,0.0681540340073572,0.163962448383869,-5.17357377150197
"DIABLO","DIABLO",-0.22821332825351,17.2544016939359,-1.87769603658142,0.0681611718867526,0.163962448383869,-5.17366231958718
"UTP3","UTP3",-0.173533099037623,16.2625090820241,-1.8775989505339,0.0681748155415769,0.163962448383869,-5.17383154669537
"SUMO4","SUMO4",0.133439453795905,18.3172493141005,1.87709748421827,0.0682453245785591,0.164078327070358,-5.17470551886223
"PHB","PHB",0.114993720358473,18.3440353579582,1.87696924331623,0.0682633659923669,0.164078327070358,-5.17492899035507
"RAD51","RAD51",0.279657077046778,16.1135280635944,1.87665976196591,0.068306921792062,0.164134486328014,-5.17546823786133
"DNAJC9","DNAJC9",0.149787992195609,16.998859928263,1.87555825248161,0.068462138913805,0.164435012246561,-5.17738693655245
"MOCS3","MOCS3",0.149671039270402,16.3511421146592,1.87546037436538,0.0684759457978137,0.164435012246561,-5.1775573835011
"VPS51","VPS51",0.156047257430435,15.2657104459409,1.87534180544663,0.0684926745561394,0.164435012246561,-5.17776385197369
"UQCC1","UQCC1",0.451220532952743,16.4203590993548,1.87488943896807,0.0685565305381425,0.164539721507104,-5.17855147531322
"NME7","NME7",-0.165374901406869,15.8577932758612,-1.87403705944849,0.0686769905808947,0.164780181945718,-5.18003514104519
"PIAS4","PIAS4",-0.176585233495768,14.4903477428047,-1.87321261199035,0.0687936752603069,0.165011444730314,-5.18146965632451
"NDUFC2-KCTD14","NDUFC2-KCTD14",0.144307155459003,16.9360808402072,1.87263792421622,0.0688751114295659,0.165158047436856,-5.18246928764058
"TOP2B","TOP2B",0.111792403873729,17.846241797427,1.87180591162257,0.0689931577774889,0.165392326621412,-5.1839160683095
"DDHD1","DDHD1",0.258183187716455,13.7651079022872,1.87123238680346,0.0690746303646722,0.165538817875713,-5.18491305637528
"FERMT2","FERMT2",-0.162131653772249,16.6416174297778,-1.8689613037615,0.0693980587255738,0.166256750008978,-5.188858512332
"MFN1","MFN1",0.169443588727086,15.8283860538669,1.86873501888139,0.0694303550365651,0.166256750008978,-5.18925140990142
"STAMBP","STAMBP",0.180428588465389,16.5793010882201,1.86869855941799,0.0694355598819634,0.166256750008978,-5.18931471063959
