"","Gene","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"FEM1B","FEM1B",-0.60624343129872,14.5181482451283,-3.39684135756453,0.00161786915944508,0.0154181223881935,-1.53629451384206
"MYF6","MYF6",-0.9602002230718,15.9261746440044,-3.39637353541384,0.00161998326879924,0.0154201920281839,-1.53751428104231
"DDX54","DDX54",0.206305128427964,17.1421040996455,3.39280988805988,0.00163617452504747,0.0155518814003284,-1.54680301487434
"ACAA1","ACAA1",-0.75255781884524,16.0680771526543,-3.39233077797648,0.00163836310828284,0.0155518814003284,-1.54805143914864
"PRPF38B","PRPF38B",0.222362289951235,17.0410409641701,3.392069582854,0.0016395574314284,0.0155518814003284,-1.54873200041558
"ERCC3","ERCC3",-0.243130954891898,15.3132736115834,-3.39059166863348,0.00164633094623636,0.0155908405125218,-1.55258228893219
"ACOT1","ACOT1",0.190859736856668,15.5720253252653,3.39033706087316,0.00164750055360515,0.0155908405125218,-1.55324550914586
"PPP2R2A","PPP2R2A",0.321140846815798,17.0168329842028,3.38923135925375,0.00165258911057451,0.0156024696009709,-1.55612541672389
"SYAP1","SYAP1",0.184456209511048,16.7906394033348,3.38897605330216,0.00165376619038359,0.0156024696009709,-1.5567903161981
"RBFOX2","RBFOX2",1.49743671914278,16.2534635497621,3.38809075057937,0.00165785406469756,0.0156024696009709,-1.55909572874994
"RBFOX1","RBFOX1",1.49743671914278,16.2534635497621,3.38809075057937,0.00165785406469756,0.0156024696009709,-1.55909572874994
"HEATR5B","HEATR5B",0.233713055715574,15.7818120520707,3.3876357716045,0.00165995868255005,0.0156024696009709,-1.56028041481455
"POLR1E","POLR1E",-0.212903107502022,16.6037160064665,-3.38757379554024,0.00166024556585556,0.0156024696009709,-1.56044178326208
"BRCC3","BRCC3",0.201855595598763,16.0346842949453,3.38615235035483,0.0016668383775835,0.0156411513786313,-1.56414240767408
"ZNF479","ZNF479",0.200831137607992,15.9828887527208,3.38585731946824,0.0016682098960848,0.0156411513786313,-1.56491039632494
"RNF25","RNF25",0.36012835391956,15.6083983203698,3.38538237672473,0.00167042004349649,0.0156438301078145,-1.56614663616287
"LAD1","LAD1",-0.373625359496614,15.0376720612216,-3.38411190977369,0.00167634593835202,0.0156812613726853,-1.56945311880833
"SNX2","SNX2",0.203942852154377,16.683991814069,3.3773327363606,0.00170830770665671,0.0159618774108189,-1.58708541286533
"IFT74","IFT74",0.20958595312802,15.8085906961993,3.37611037776307,0.00171413242145629,0.0159770803312415,-1.59026273243247
"TRMT112","TRMT112",0.396062026588105,15.5212841840392,3.37575787059422,0.00171581569320223,0.0159770803312415,-1.59117890442913
"NTAN1","NTAN1",-0.267753934788665,14.8783034532266,-3.37575464264302,0.0017158311144266,0.0159770803312415,-1.59118729369575
"TIMP1","TIMP1",-0.324770665149446,14.5033548562675,-3.37478820912016,0.00172045412058305,0.0160017981078028,-1.59369881138585
"ZNHIT2","ZNHIT2",0.215854801801811,15.6204686644348,3.370483134969,0.00174119281862129,0.0161761787686542,-1.60488202088544
"CHML","CHML",-0.263440999381739,14.9340589909211,-3.36933818007705,0.00174674847299295,0.0162068084662937,-1.60785498339231
"RBM6","RBM6",0.200258789206028,17.1369226447086,3.36898262319499,0.00174847718353297,0.0162068084662937,-1.60877810561267
"P55198","P55198",-0.28108285579961,16.2622853434364,-3.36730268605471,0.00175666714397481,0.016264176780605,-1.61313898420917
"ALG3","ALG3",-0.269008448425076,16.9111415760185,-3.36538139915276,0.00176607866707339,0.0163327115866207,-1.61812496645359
"DNM2","DNM2",0.219793832324335,17.8861555330096,3.36496313607001,0.00176813392812015,0.0163331371610099,-1.61921021298399
"ORC3","ORC3",0.330436703829177,15.124793424394,3.36335646201097,0.00177605007684769,0.016387640266396,-1.62337830854193
"GOLT1B","GOLT1B",-0.237057091217043,17.3756338725017,-3.36147260755386,0.0017853750430337,0.016455004223153,-1.62826413687626
"BTN2A1","BTN2A1",-0.530802218228679,16.2902757242145,-3.35885784500738,0.00179839552106141,0.0165562369090693,-1.63504319701971
"POFUT2","POFUT2",0.55201048246944,15.0202295056055,3.35704439021935,0.00180747903373397,0.0166210374040989,-1.63974313918676
"HLA-DPA1","HLA-DPA1",0.371149919560851,15.2669952199798,3.35471340484439,0.00181921922913945,0.0167100939137566,-1.64578239410667
"CDC20","CDC20",0.262435057618827,16.1326732780394,3.35423217196524,0.00182165205298371,0.0167135547840909,-1.6470289239021
"EDEM2","EDEM2",0.63448727766354,13.6187144148507,3.35026222045279,0.00184184065109966,0.0168797324157713,-1.65730860621549
"WDR6","WDR6",-0.321736175117735,15.4883550992193,-3.34714831811752,0.00185782531035267,0.017007051743082,-1.66536713434356
"LITAF","LITAF",0.216017355115355,17.2843110369136,3.34196231094021,0.00188474120530789,0.0172340396602338,-1.67877925464227
"PPP2CA","PPP2CA",0.341429275014843,19.1873643812245,3.3414032600886,0.00188766486845881,0.0172413794558446,-1.68022441805562
"FOXJ2","FOXJ2",0.248422912175856,15.8641796482435,3.33888051404644,0.0019009119957167,0.0173351949456001,-1.68674418995463
"GFM2","GFM2",0.186946205284144,15.9926120372878,3.33863589067588,0.00190220124141657,0.0173351949456001,-1.68737625365751
"GCC2","GCC2",-0.187802093959208,15.7836277634627,-3.33357219677062,0.00192907681548988,0.0175604316160327,-1.7004543927966
"ATAD3A","ATAD3A",0.258886356797358,18.6502889114769,3.33197013906413,0.00193765495659294,0.0176065147510716,-1.70458986123332
"SPATA20","SPATA20",-0.627363529827777,14.8500118559361,-3.33181808852878,0.00193847099301379,0.0176065147510716,-1.70498230132928
"CARS2","CARS2",0.214230316790573,15.7161378175158,3.33115347120721,0.00194204176413096,0.0176192606033712,-1.70669755594613
"NQO2","NQO2",0.261158369133934,17.1218308067489,3.32810639712466,0.00195849321914189,0.0177487083371286,-1.71455914624314
"ARHGEF6","ARHGEF6",-0.272860883076202,15.3465241496787,-3.32385163756416,0.0019816877458781,0.0179389083365736,-1.72553016815075
"VRK3","VRK3",-1.04006450960221,15.0718743688582,-3.31815472587978,0.00201315476853773,0.0182034873341971,-1.74020801955886
"ANXA2","ANXA2",0.208723101214268,19.8826626428737,3.31014119569889,0.00205822548840086,0.0185903499946784,-1.76083159441774
"TIMM23","TIMM23",-0.371821384382951,16.7037130122436,-3.30845292928416,0.00206784281400931,0.018656486387438,-1.7651730767947
"MDP1","MDP1",-0.178489404292831,15.3885052246439,-3.30736093113792,0.00207408626463185,0.0186752669757972,-1.76798058105613
"ZNF320","ZNF320",0.52249235038517,15.6326739011854,3.30728533640458,0.00207451913878027,0.0186752669757972,-1.76817491499464
"CDKL5","CDKL5",1.28938686317034,15.7026330120299,3.30459005705959,0.00209000939114418,0.01879390081926,-1.77510219176975
"ANTXR1","ANTXR1",-0.254150678940125,16.6505345642164,-3.30124533794568,0.00210938546727017,0.018935169262029,-1.78369437829806
"AAGAB","AAGAB",0.350857532622735,15.7455638479252,3.30107478312244,0.00211037807250563,0.018935169262029,-1.78413238716182
"CSNK2A1","CSNK2A1",0.275091683128306,16.8471680102712,3.29673015475508,0.00213581386622415,0.0191422612111754,-1.79528586983378
"TTPAL","TTPAL",-0.673804053742572,15.4105012731509,-3.29526783048863,0.0021444406393284,0.019198411847027,-1.79903814034145
"EOGT","EOGT",-0.28847647517747,15.5659306100403,-3.29419995733072,0.00215076137608683,0.0192338165304839,-1.80177769271796
