"","logFC","AveExpr","t","P.Value","adj.P.Val","B","genes","group","Pos_neg"
"ENSG00000155158",0.01313386,2.419782,0.1001434,0.921247,0.9373776,-7.539081,"TTC39B","Not_significant",NA
"ENSG00000158623",0.07162098,5.208647,1.288308,0.2126301,0.2683755,-7.539372,"COPG2","Not_significant",NA
"ENSG00000258297",-0.06007321,2.811093,-0.5065279,0.6181329,0.6731339,-7.540341,NA,"Not_significant",NA
"ENSG00000111554",-0.08390981,3.886011,-0.9628285,0.3473551,0.4116251,-7.540452,"MDM1","Not_significant",NA
"ENSG00000164010",0.04318833,2.619738,0.3644622,0.7194128,0.7634173,-7.541192,"ERMAP","Not_significant",NA
"ENSG00000152942",0.07925643,5.071555,1.260084,0.222426,0.2792717,-7.541667,"RAD17","Not_significant",NA
"ENSG00000155636",0.08224902,3.470218,0.8177955,0.4232981,0.4885226,-7.541834,"RBM45","Not_significant",NA
"ENSG00000089737",-0.0603675,7.685905,-1.589495,0.1279388,0.1709278,-7.541841,"DDX24","Not_significant",NA
"ENSG00000166326",0.06322841,8.124829,1.624216,0.1202923,0.1617785,-7.543384,"TRIM44","Not_significant",NA
"ENSG00000155957",0.07794898,3.138322,0.6754328,0.5072866,0.5701352,-7.544024,"TMBIM4","Not_significant",NA
"ENSG00000129518",-0.07879798,4.716218,-1.18231,0.2512185,0.3106817,-7.544622,"EAPP","Not_significant",NA
"ENSG00000230629",0.04191861,2.608217,0.3417012,0.7362097,0.7783591,-7.545744,NA,"Not_significant",NA
"ENSG00000213148",0.05628949,2.768386,0.46694,0.6456882,0.6981608,-7.54606,NA,"Not_significant",NA
"ENSG00000176894",-0.004976664,2.428711,-0.0302792,0.9761504,0.9810418,-7.546835,"PXMP2","Not_significant",NA
"ENSG00000168876",-0.08858473,3.933031,-0.9700993,0.3438091,0.4079433,-7.547466,"ANKRD49","Not_significant",NA
"ENSG00000185621",-0.07559755,3.169616,-0.6842276,0.5018369,0.5647704,-7.548201,"LMLN","Not_significant",NA
"ENSG00000214185",-0.06790283,2.702334,-0.4123849,0.68453,0.732858,-7.549271,NA,"Not_significant",NA
"ENSG00000103351",-0.07775291,4.621162,-1.154878,0.2620175,0.3223339,-7.550501,"CLUAP1","Not_significant",NA
"ENSG00000018510",0.06733823,6.751026,1.497013,0.1503102,0.1972331,-7.550674,"AGPS","Not_significant",NA
"ENSG00000100211",-0.04836497,2.66891,-0.3780044,0.7094873,0.7548124,-7.552409,"CBY1","Not_significant",NA
"ENSG00000156467",-0.06668709,6.667097,-1.486625,0.1530132,0.2004246,-7.552721,"UQCRB","Not_significant",NA
