,Untreated_WT_vs_Untreated_ARID1A_KO
HOXA13,0.6061380459143257
HOXA2,0.2788348039800339
HOXA5,0.9415857369290659
HOXA7,8.184549188522805e-06
HOXA9,0.5382079678414802
HOXB1,0.04102140530427462
HOXB13,0.42885441822850734
HOXB2,0.029752106559284938
HOXB4,0.4567354198869342
HOXB7,0.7708073287884428
HOXB9,0.00048306750439573856
HOXC6,1.6159628899032185e-05
HOXC8,0.34684113645988124
HOXD1,0.7180654218571837
HOXD13,0.22511167029095874
HOXD3,0.17313229881219175
HR,0.31972506779971865
HSF1,0.41044974194173445
HSF2,0.8709360884866584
HSF4,0.3050806361883389
HTATIP2,0.17635054125432864
ID1,0.2521524153224753
ID2,0.025861102949814384
ID3,0.3510165958618914
ID4,0.573280596176349
IKZF1,0.10523574351474882
IKZF4,0.6460302421976487
ING4,0.13319628386038437
IRF1,0.010367822748448672
IRF2,0.044292430355425724
IRF3,0.46824245206453075
IRF4,0.09736822056192601
IRF5,0.41430461757462755
IRF6,0.19982295575210013
IRF7,0.4717520885271207
IRF8,0.653575732362492
IRF9,0.011822900134289091
IRX1,0.6048207404615855
ISL1,0.5231524126432583
JARID2,0.21200026263832894
JDP2,0.8980846549483148
JUN,0.0005750814878301618
JUNB,0.04473853434054195
JUND,0.017455366068303335
KAT2B,0.07750967884394608
KAT5,0.0524294550709474
KAT6A,0.8973681965080887
KAT6B,0.26311937653866263
KAT7,0.06939383005161753
KCNIP3,0.1259439174386479
KDM2A,0.19070464590541708
KDM5A,0.5067874497915985
KDM5B,0.059308384291021476
KDM5C,0.2899336705952414
KDM5D,0.7223223874492737
KLF1,0.9006744208166816
KLF10,0.25150703133183666
KLF11,0.48023472451035565
KLF12,0.45656970576667977
KLF13,0.7655413102320302
KLF15,0.3100654743966508
KLF17,0.3195147829762748
KLF2,0.6141435624478879
KLF3,0.795823104217326
KLF4,0.3252116680825603
KLF5,0.09513264744984547
KLF6,0.001326969428803344
KLF7,0.08515823967129839
KLF8,0.001068667750716917
KLF9,0.4112089442535479
KMT2A,0.31778757337733304
KMT2B,0.43106424443543656
LEF1,0.751005068330459
LHX1,0.0720614569042442
LHX2,0.6497021175600984
LHX3,0.03659782795524997
LHX8,0.01911292125388368
LITAF,0.7770245654850564
LMO2,0.1675117030068172
LMX1B,0.0617106681275829
LRRFIP1,0.8018466373551123
LYL1,0.3324794319949925
MAF,0.6801682782117948
MAFA,0.5544862720310577
MAFB,0.8663408802342623
MAFG,0.012175846566727724
MAFK,0.8325754580292837
MAML1,0.6326613640096952
MAX,0.46771591765961074
MAZ,0.8365345126348512
MBD1,0.011710073218673364
MBD2,0.9547748912632712
MECOM,0.07667766397291848
MECP2,0.9683696246006983
MED1,0.12969237154799798
MEF2A,0.017572098881349203
MEF2B,0.2745240967126718
MEF2C,0.3916636828919735
MEF2D,0.15994567128133563
MEIS1,0.2600712315030657
MEOX1,0.352962267202913
MEOX2,0.7206193993313326
MESP2,0.023812306619914084
MITF,0.7438321362664221
MIXL1,0.21404415890724174
MKX,0.5199845820777017
MLXIPL,0.756116388052235
MNT,0.5825823229013569
MSC,0.10205628824417948
MSX1,0.037386840160852385
MSX2,0.5200920779076894
MTA1,0.3554775544626846
MTA3,0.47649215466569983
MTF1,0.028633945954526993
MTF2,0.7002813009996325
MXD1,0.8522731801649326
MXI1,0.43937171375354533
MYB,0.034471215847370264
MYBL1,0.7857802755780599
MYBL2,0.48475547172716127
MYC,0.005302328637596663
MYCN,0.4870209711185778
MYF5,0.45926413185568327
MYF6,0.19574778245012397
MYOCD,0.10250267745016729
MYOD1,0.20720959141691556
MYOG,0.26152100785556137
MYRF,0.058463770484401434
MYT1,0.0329604014410658
MZF1,0.2979713637197201
NAB2,0.9173953267516097
NANOG,0.3680533970765699
NCOA1,0.7963401806627365
NCOA2,0.844482406845745
NCOA3,0.9682196266946398
NCOR1,0.5639219813437577
NCOR2,0.008506167858585737
NEUROD1,0.23204107213862565
NEUROD2,0.00031524084058412075
NEUROD6,0.5984992100373712
NEUROG1,0.043579758538864
NEUROG2,0.029874252533046486
NEUROG3,0.12675211535767025
NFAT5,0.39419098122408425
NFATC1,0.5962776949957445
NFATC2,0.25000200419266855
NFATC3,0.893692677987661
NFATC4,0.5589037603588318
NFE2,0.00010921537575668232
NFE2L1,0.7537275388895106
NFE2L2,0.17762314105117605
NFE2L3,0.6821238675735635
NFIA,0.2732852808104538
NFIB,0.013642378070919748
NFIC,0.0007309896632420481
NFIL3,0.8612818216415687
NFIX,0.04493281442529328
NFKB,0.616189044945278
NFKB1,0.39171129831755147
NFKB2,0.22916218148227904
NFKBIB,0.18556190341840906
NFX1,0.005641853806409434
NFYA,0.4520762106667666
NFYB,0.0037575759608452744
NFYC,0.9211501773638218
NKRF,0.1623158094914099
NKX2-1,0.11992110260976378
NKX2-2,0.00982506350354443
NKX2-5,0.02622351640736746
NKX3-1,0.10051941881751567
NKX3-2,0.09940822992463966
NKX6-1,0.0010346379955865547
NONO,0.3666282129845092
NOTCH1,0.3022788711223496
NOTO,0.11233163075905067
NPAS2,0.6024391049378894
NPM1,0.5311791509814945
NR0B1,0.8580782910164164
NR0B2,0.5392986124683474
NR1D1,0.014349790320467631
NR1H2,0.39816270393140984
NR1H3,0.5144092081355423
NR1H4,0.8314632727779048
NR1I2,0.6726014873548789
NR1I3,0.48954309223004033
NR2C1,0.4658886476535168
NR2C2,0.03715633263431108
NR2E1,0.6884720559792019
NR2E3,0.5822932670240482
NR2F1,0.31660339785529706
NR2F2,0.41645733320688794
NR3C1,0.6823524619861238
NR3C2,4.083793306081638e-05
NR4A1,0.17832119697475646
NR4A2,0.6714943007149927
NR4A3,0.3277766817040083
NR5A1,0.033185746373916705
NR5A2,0.28266709418493735
NR6A1,0.8784216826680088
NRF1,0.9657778269046108
NRG1,0.9006744621061284
NRL,0.008275748251312456
NSD2,0.9259438727143074
NUPR1,0.8906977021458002
OLIG1,0.5675488285162849
OLIG2,0.02446841692710902
ONECUT1,0.0076346508293269446
OTX2,0.6562558045529198
OVOL1,0.7276506767769054
PARK7,0.2837048231112413
PATZ1,0.17089832716755746
PAWR,0.206775629992551
PAX1,0.14229216487705737
PAX2,0.9583692342143818
PAX3,0.5366877288480645
PAX5,3.8523434622263855e-05
PAX6,0.04539005055668283
PAX7,0.025931444246343464
PAX8,0.003368128769416534
PAX9,0.5283989323504744
PBRM1,0.749065119414834
PBX1,0.5641161860767201
PDX1,0.0021087774591635753
PEG3,0.07097690499345634
PGR,6.9074631769678535e-06
PHF20,0.15983033567336516
PHOX2A,0.06887660765334262
PHOX2B,0.24984028605996422
PIN1,0.018888963727206744
PITX1,0.0036668566999412005
PITX2,0.3054634761883102
PITX3,0.0005462531588891759
PKNOX1,0.4194635089026105
PLAG1,0.05376153229812624
PLAGL1,0.6056927660257152
PML,0.13370445042257403
POU1F1,0.619787219888843
POU2F1,0.7907910922268144
POU2F2,0.6914137485894185
POU2F3,0.3990418853051846
POU3F1,0.002573772784878027
POU3F2,5.173664227668395e-05
POU4F1,0.06137697052442118
POU4F2,0.45553897944536814
POU5F1,0.9590584295568894
PPARA,0.11936518124082614
PPARD,0.7374630568447104
PPARG,0.07416216631551241
PPARGC1A,0.12840576420582628
PRDM1,0.6449452666611889
PRDM2,0.8495798129826911
PRDM4,0.9067452858893703
PREB,0.08715356120970037
PROP1,0.03370332296247533
PROX1,0.0004139260471770694
PRRX1,0.014714453845457155
PTF1A,0.384407714924871
PURA,0.009988588806473539
RARA,0.016020136005548757
RARB,0.0828977002772344
RARG,4.338394250029408e-05
RB1,0.7184853594500527
RBPJ,0.7840312397721545
RCOR2,0.3683407384108429
REL,0.0020765799266756917
RELA,0.157983259707724
RELB,0.8174411635896057
REST,6.561911337388006e-08
RFX1,1.0646669662847155e-06
RFX3,0.010143038287821652
RFX5,1.6302420917823277e-28
RFXANK,2.0165863559714834e-29
RFXAP,2.126853305011382e-31
RORA,0.27055764199522675
RORB,0.1269422349757571
RORC,0.29790635004876287
RREB1,0.411122602315964
RUNX1,0.7144681785673308
RUNX2,0.4266415554722054
RUNX3,0.8383987052060764
RXRA,0.4963273229931954
RXRB,0.4187678279942667
RXRG,0.4212404563982143
SALL1,0.20138781161383584
SALL2,0.7020874068761891
SALL3,0.6288625757946393
SALL4,0.3805017372964592
SATB1,0.46268135969986446
SATB2,0.13337135412898024
SCX,0.025384414589031495
SETBP1,0.7000547928527164
SF1,0.11625488171105323
SFPQ,0.26517860125146914
SHOX2,0.7734637819468774
SIM2,0.057011167452876765
SIN3A,0.9467023002129098
SIRT1,0.5719950638030582
SIX1,0.018391267201144104
SIX3,0.10147488678644222
SIX4,0.006101614634568852
SKIL,0.1408339546903499
SMAD1,1.190551630955957e-05
SMAD2,0.08936258319080369
SMAD3,0.002310572502053679
SMAD4,1.1463286865239437e-07
SMAD5,0.0039832718461604655
SMAD6,0.7411429512686896
SMAD7,0.11967516198399382
SMAD9,0.004907722049489478
SMARCA1,0.4304905447773123
SMARCA4,0.9827086120221615
SMARCA5,0.010956200068275818
SMARCB1,0.5177063253061122
SMARCC1,0.2839244411081628
SNAI1,1.994498680457983e-06
SNAI2,0.24851021960422984
SOX10,0.10456931395674045
SOX11,0.00011730631945019589
SOX17,0.7894206534495074
SOX2,0.03319407471547613
SOX4,0.16645831348066187
SOX5,0.0017022942776295535
SOX6,0.2910934179060138
SOX9,0.23607069238648165
SP1,0.27956236372412774
SP2,0.35790613201716803
SP3,0.27788828525067844
SP4,0.6130345019777622
SP7,0.1274571518847564
SPDEF,0.42734337115827437
SPI1,0.9380346129509849
SPIB,0.7360445943612146
SPIC,0.5689081917245609
SREBF1,0.5570801428318527
SREBF2,0.16689919216577376
SRF,0.38193289108660977
SRSF2,0.3300674095977434
SRY,0.04885360097899415
SSRP1,0.011937448516167135
STAT1,0.599770307295339
STAT2,0.537243087870739
STAT3,0.008545463485048541
STAT4,0.5638386800843043
STAT5A,0.004110422440106921
STAT5B,0.001716556642783671
STAT6,0.22784409835456884
TADA2A,0.7187766118722569
TAF1,0.04105162303809696
TAL1,0.2832844375637116
TBP,0.33446373960488407
TBPL1,0.6224398181372648
TBPL2,0.32613104850561614
TBX1,0.0012765824846363342
TBX15,0.33321342379674446
TBX18,0.21342132329518726
TBX2,0.9419065008994412
TBX20,0.8579062949867459
TBX21,0.9017311762529128
TBX3,0.4186794539832268
TBX5,0.725884535807785
TBX6,0.00275207393364582
TBXT,0.9231464234355944
TCF12,0.10975076176758344
TCF15,0.9978225179702875
TCF21,0.003604603413980537
TCF3,0.07161147650047611
TCF4,0.09899710302185126
TCF7,0.1634890317029259
TCF7L2,0.003147937683395425
TEAD1,0.8982003247874261
TEAD2,0.19915124532083975
TEAD4,0.3622038306723757
TEF,0.15315265079561494
TET1,0.8526520901409295
TFAM,0.8113407171788259
TFAP2A,0.10564346260965331
TFAP2B,0.11241682774974537
TFAP2C,0.5587829775756289
TFAP4,0.002829218861069191
TFCP2,3.2768585789946954e-05
TFDP1,0.7393187823074008
TFDP2,0.47624618856405265
TFDP3,0.5131766468143711
TFE3,0.08956206563652608
TFEB,0.40586353383321927
TGFB1I1,0.11393450829378272
TGIF1,0.040828067890842784
THAP11,0.922639001655011
THRA,0.009812395800571225
THRB,0.09641824663605744
TLX1,0.003963350709843978
TLX3,0.14490368942935017
TOX3,0.15801811953629505
TP53,0.5667317946053576
TP63,0.9860571222657292
TP73,0.16439730721581017
TRERF1,0.7708501752642481
TRIM28,0.28839229432893204
TRPS1,0.060749691891908784
TSC22D1,0.02562845808661547
TTF1,0.9802381003468446
TWIST1,5.577080500418338e-12
TWIST2,1.7922134127930456e-10
UBTF,0.022780879936494625
USF1,0.0001519094785250571
USF2,0.04293323430033826
VDR,0.5868857611955764
VEZF1,0.31759792200919595
VHL,0.36767902882077796
VSX2,0.1483536953198281
WT1,0.5168725033863194
WWTR1,0.08483603448033095
XBP1,0.3607573706906041
YAP1,0.3566849587616038
YBX1,0.05065209731574325
YBX3,0.16880879122166695
YY1,0.22761201415592378
ZBED1,0.36958344831653545
ZBTB14,0.02159400342928274
ZBTB16,0.35906837938131697
ZBTB17,0.7258695317071324
ZBTB18,9.278297017976368e-06
ZBTB32,0.3258501677379624
ZBTB33,4.658551083839508e-07
ZBTB4,0.9515121037296974
ZBTB7A,0.9011039930512728
ZBTB7B,0.3048243879964181
ZEB1,0.42357249851851064
ZEB2,0.008692192771618555
ZFHX3,0.7742312447409636
ZFP42,0.9483738940651577
ZFPM1,0.46988130538977735
ZFPM2,0.005612358372409308
ZGLP1,0.07524758629567263
ZGPAT,0.3466117769289033
ZHX2,0.6017479243613664
ZIC1,0.5347116169492903
ZIC2,0.3129751023752165
ZKSCAN7,0.022014000791611168
ZMYND8,1.4822224218007435e-10
ZNF143,0.9926787773894175
ZNF148,0.3673064499051175
ZNF160,0.3538729363590096
ZNF202,0.45801804238603294
ZNF219,0.6635064159660047
ZNF236,0.8239456386292225
ZNF24,0.7901343426427809
ZNF263,0.08154705107614571
ZNF300,0.6878888432872768
ZNF331,0.666427196815796
ZNF335,0.010326504162013916
ZNF350,0.29138904745244215
ZNF354C,0.08627793473958097
ZNF362,0.4706193970391107
ZNF382,0.13621537494985117
ZNF384,0.4702173484965191
ZNF395,0.4462033207575148
ZNF436,0.2859207678145119
ZNF699,0.17356846082510546
ZNF76,0.91870086730651
ZNF804A,0.3842868973369098
ZNF91,0.40062057254995853
ZXDC,0.0011116419160467597
