"","Untreated__WT","Untreated__WT.1","Untreated__WT.2","Untreated__ARID1A_KO","Untreated__ARID1A_KO.1","Untreated__ARID1A_KO.2","Untreated__MED12_KO","Untreated__MED12_KO.1","Untreated__MED12_KO.2","Vermurafenib_1uM__WT","Vermurafenib_1uM__WT.1","Vermurafenib_1uM__WT.2","Vermurafenib_1uM__ARID1A_KO","Vermurafenib_1uM__ARID1A_KO.1","Vermurafenib_1uM__ARID1A_KO.2","Vermurafenib_1uM__MED12_KO","Vermurafenib_1uM__MED12_KO.1","Vermurafenib_1uM__MED12_KO.2","Trametinib_10nM__WT","Trametinib_10nM__WT.1","Trametinib_10nM__WT.2","Trametinib_10nM__ARID1A_KO","Trametinib_10nM__ARID1A_KO.1","Trametinib_10nM__ARID1A_KO.2","Trametinib_10nM__MED12_KO","Trametinib_10nM__MED12_KO.1","Trametinib_10nM__MED12_KO.2","vemurafenib_and_trametinib__WT","vemurafenib_and_trametinib__WT.1","vemurafenib_and_trametinib__WT.2","vemurafenib_and_trametinib__ARID1A_KO","vemurafenib_and_trametinib__ARID1A_KO.1","vemurafenib_and_trametinib__ARID1A_KO.2","vemurafenib_and_trametinib__MED12_KO","vemurafenib_and_trametinib__MED12_KO.1","vemurafenib_and_trametinib__MED12_KO.2","vemurafenib_and_trametinib__WT.3","Vermurafenib_1uM__WT.3","Trametinib_10nM__WT.3","vemurafenib_and_trametinib__ARID1A_KO.3","Vermurafenib_1uM__ARID1A_KO.3","Trametinib_10nM__ARID1A_KO.3","vemurafenib_and_trametinib__MED12_KO.3","Vermurafenib_1uM__MED12_KO.3","Trametinib_10nM__MED12_KO.3","Untreated__WT.3","Vermurafenib_1uM__WT.4","Trametinib_10nM__WT.4","Untreated__ARID1A_KO.3","Vermurafenib_1uM__ARID1A_KO.4","Trametinib_10nM__ARID1A_KO.4","Untreated__MED12_KO.3","Vermurafenib_1uM__MED12_KO.4","Trametinib_10nM__MED12_KO.4","Untreated__WT.4","Vermurafenib_1uM__WT.5","Trametinib_10nM__WT.5","Untreated__ARID1A_KO.4","Vermurafenib_1uM__ARID1A_KO.5","Trametinib_10nM__ARID1A_KO.5","Untreated__MED12_KO.4","Vermurafenib_1uM__MED12_KO.5","Trametinib_10nM__MED12_KO.5"
"ME1",-0.199834325455802,-0.241077139346657,-0.192409877453308,-0.207391354478447,-0.259200150909077,-0.244329746759361,-0.207582731782751,-0.216641411332054,-0.209155343683753,0.0792818679248019,0.072028219694375,0.0747375588803839,0.0730529372205779,0.0526596817359831,0.0598425727482021,0.061324199226168,0.0457089099230843,0.0704040217363662,0.110256575530541,0.0985080115773277,0.0959986960269294,0.108479343337305,0.0785424417373637,0.0848511417181791,0.0895599538040859,0.122168737454757,0.0980073237487342,0.00776215033377504,0.0314245435957054,0.00909121769969277,0.0243499934867068,0.0566785250405913,0.00886193379144685,0.0128421111705135,0.0733229913979092,0.054598056490958,0.0106313274079363,0.0640932058703561,0.108386117168101,0.0287639033420267,0.0576561564377216,0.0911124181867118,0.0438832592720434,0.0698763261220809,0.098420015639376,-0.284597797444339,0.0665105098557751,0.118739051144375,-0.258714611218106,0.0395191459611777,0.0984237554714274,-0.242208150393067,0.0615957593481961,0.121947531142677,-0.136848208293054,0.0691674937199268,0.0816260987172989,-0.177391508049793,0.0751360833118536,0.0517941298191648,-0.192163199547348,0.0857601687677764,0.0721593824084507
"ME12",0.22430753023879,0.200379338324213,0.182480177385973,0.203636699197847,0.220858736630982,0.197089670841565,0.188386802330932,0.218988817506955,0.229973298790521,-0.0209754997677558,-0.0440526339357419,-0.0169064472808778,-0.0657806562125453,-0.0581492617019902,-0.0214430009052854,-0.0289370457153114,-0.0255231116401908,-0.0507063009113658,-0.0404368480383802,-0.0319017782191127,-0.0183575154908539,-0.0125781946617333,-0.0029500861577013,-0.0404147727473555,-0.0180336660024822,-0.0375249463162941,-0.0230413759733204,-0.159410963253525,-0.134416874589556,-0.174241981395494,-0.109621525332165,-0.129303063327484,-0.199013522530001,-0.17295256909599,-0.178744195888224,-0.140860517487549,-0.133480170111944,-0.0244973974173769,-0.0500681557840774,-0.161963368776302,-0.041494287182587,-0.0482348406629722,-0.151028744365676,-0.00682559599395898,-0.0370494250156427,0.215349656072225,-0.0706287530046297,-0.0526484063608024,0.213305871204669,-0.0642353088444476,-0.0698722100276687,0.218291370348685,-0.120846786140331,-0.0357660894182563,0.201049652029096,-0.0359416345539841,0.0250419665738297,0.177482982412691,-0.0169036575867435,-0.0191457931417119,0.206148452645248,-0.0174417101374806,-0.00842033342934287
"ME13",-0.21713979822356,-0.226217383572959,-0.214263209935032,-0.226706077634947,-0.184451279528022,-0.226363090018823,-0.220911063903389,-0.240590603638792,-0.202515189793834,0.085177133350662,0.0882198681001375,0.0730362563967785,0.06295401779371,0.0886489277009343,0.0922244018574472,0.0672561815567121,0.0797321504207882,0.0848833089444136,0.0616603176337877,0.10147394998847,0.104543550971556,0.10359794355661,0.0957745219642148,0.064130695650665,0.0865904385043151,0.0826408375341428,0.0654702905569985,0.0354048110629432,0.0516635717821183,0.0335435730763011,0.0616804591531767,0.0651390006574101,0.0149163649674355,0.0297418578145308,0.0231268670096107,0.0329247427814333,0.056395963468125,0.093604735767643,0.0973888183227349,0.049593937212428,0.0936913984459555,0.049581198584328,0.0103155427746375,0.0647261016322839,0.0936494780055483,-0.26313296480833,0.108379647609608,0.0789115792429684,-0.251177417659587,0.0748333306979099,0.0703603632560223,-0.279017126697376,0.0448123583504788,0.0860116719944457,-0.150304531557922,0.0822754151767773,0.0612748306599079,-0.253384120497316,0.0873105158505678,0.079562852796196,-0.135808624268484,0.0214960073230973,0.0516506937794066
"ME3",0.201293776589964,0.208489753019721,0.22844326783582,0.24601472910852,0.196619802795262,0.220220068863333,0.23347055082485,0.241990608428482,0.222404760191447,-0.0730824860597597,-0.114235525318738,-0.0801887549933138,-0.0887847772285803,-0.106140653704562,-0.0936731894620352,-0.0900806419409019,-0.10809661292225,-0.0990809222951147,-0.0746994423489972,-0.0220702657449038,-0.0330609396198629,-0.0459456889820913,-0.0265599976931681,-0.0612087710668846,-0.0545151972944958,-0.0114834138839924,-0.044486827047394,-0.0686526239820808,-0.0377680346094731,-0.0956544737158159,-0.0995226165016104,-0.0388859776505179,-0.126938530045892,-0.0711242133989757,-0.0496028079881202,-0.0449117818119079,-0.0377120656282223,-0.0672227132245422,-0.0533254095891522,-0.053632471044247,-0.0935704957953212,-0.0608647041969434,-0.10671188843892,-0.113783918820169,-0.0266592576052722,0.235926674542503,-0.153607469661358,-0.0725102175008465,0.216128235206525,-0.0717966561669278,-0.0207196919982001,0.240450199433862,-0.143308311027408,-0.0664610332758865,0.20620859854316,-0.0791831125014136,-0.00258504489899468,0.196075824913085,-0.0913169752181865,-0.0131310985773911,0.177503544421493,-0.0595751790909269,-0.0231075131462576
"ME4",-0.0589759205171203,-0.0113579048129969,-0.00815431936549109,-0.0386269872144401,-0.0264686329084185,-0.0212932567120252,-0.043063605373991,-0.0150222951943413,-0.0226609478079447,-0.0595410194476925,-0.0461274298538414,-0.0552060923683187,-0.0564587015301139,-0.039930652062073,-0.0533610043187155,-0.0617772391698703,-0.0947327362135302,-0.0616417029844404,-0.064385333449867,-0.103984247494425,-0.0777525129470099,-0.111625078549363,-0.0874894042362271,-0.0757864103039249,-0.0736909397537666,-0.113861632112237,-0.0185951100303377,0.260529818138674,0.243770185657622,0.278630380603841,0.238535690094058,0.237332927566553,0.239865800492582,0.26502130745233,0.25103959743175,0.266332369502145,0.260659934833395,-0.0637250833323545,-0.0997505097159267,0.23386726845447,-0.0725790202472486,-0.0959373641555829,0.264421915537067,-0.100812010454572,-0.0834036951871192,-0.0077589894115466,-0.0615761580357195,-0.112384890378217,-0.0133563046097883,-0.0524213493786833,-0.106488992083845,-0.0722911925394999,-0.0664384785003176,-0.114552638448372,-0.0328746522623651,-0.0328492342409912,-0.0568034846543068,-0.0463185852794151,-0.0637728816930986,-0.0603009736381673,-0.0197877725162395,-0.0429494263344491,-0.0593023919341337
"ME5",0.0333285781426733,0.0273520826252808,0.0256762694468483,0.0288215069605833,0.0299193481058461,0.0121231029793242,0.0298631793523941,0.0199303523811703,0.0113335659428204,0.0753067778777635,0.0765299323546447,0.0771844157500882,0.0746925728923465,0.0807852998132401,0.0634359505741136,0.0740330487114799,0.0734471187135535,0.0688978757533168,0.0809741704423028,0.100661188132675,0.0883788245840621,0.0715721954859858,0.0812908492218006,0.0682625994199021,0.076968563370142,0.06646364526254,0.0783771754453128,-0.278178400072429,-0.255262371182629,-0.282906584530842,-0.239205069193963,-0.196513022380622,-0.275451148302721,-0.247466453550936,-0.279276002358985,-0.268448896077495,-0.252413592179104,0.0808200567226595,0.0785363676142191,-0.234435627888497,0.0602996838082573,0.0554463125561909,-0.245813016680451,0.0712956906086991,0.069019160734229,0.0202038720121881,0.0740522264135824,0.0800601846820191,-0.0117856608210354,0.068070073261959,0.0794121635555471,0.0122205394946665,0.0713393524301681,0.0762677471670913,0.0440490492650743,0.0740684588778133,0.0826986161878043,0.0372775190361487,0.0858610025225032,0.0720250494741568,0.0522498317145887,0.0512016750749904,0.0750710222629419
"ME7",-0.204723360328027,-0.201248845629858,-0.229844926300386,-0.232794753858214,-0.186625381992604,-0.23122399890971,-0.235475436378842,-0.241966121016997,-0.201092551832671,0.114927923403473,0.0831063078907948,0.0761149315167126,0.0785605502080305,0.0584209279301937,0.0803006294782403,0.090512372002117,0.0563338466006856,0.0823840071696795,0.0927799739861988,0.0513726617111399,0.0296178291268106,0.041130344538812,0.0692532050606557,0.0504542206559713,0.0596864480438635,0.0422339904582823,0.0654248718114281,0.0771655876882399,0.093156532523716,0.0766261510078086,0.0885375639084137,0.075467146632724,0.0539246812450676,0.072237376110692,0.0831510353141938,0.0796937493257513,0.0833053609957333,0.094761742795567,0.0760983310416365,0.0873515882616556,0.0836416926915621,0.0617759227768669,0.0685434092597653,0.0646895390135987,0.0349419577009896,-0.318140835115733,0.0704828784737264,0.034190754495756,-0.297600298977013,0.101342226164061,0.0608515528015414,-0.213182220514353,0.0661838410313699,0.0867491502602185,-0.14929714317541,0.0590641340049863,0.0483926754364131,-0.202884504437665,0.0774074998178862,0.0394621379799981,-0.15441819854383,0.0506613917868478,0.0280459248714381
"ME8",0.0168673496488422,0.00464490682455176,0.0280288987958441,0.021913926881854,0.00895114829486166,0.00553373193999495,0.0242595244901902,0.0150110859019367,0.0372189376710823,0.106547014945066,0.10816695218594,0.0815500133992943,0.0708838299531693,0.086484664071445,0.0797814180819691,0.0786379105267387,0.0697823580095815,0.0863160137265349,0.0694285890555305,0.0722198589997952,0.0723938031972155,0.0708839382114291,0.0794337926291681,0.0458100849266362,0.0597599553222527,0.0710597384491304,0.0882441931954601,-0.258167083123825,-0.228308398921418,-0.296654352427394,-0.246039590475431,-0.20155969796076,-0.289148561685173,-0.239305011717354,-0.281629926000701,-0.268937731313447,-0.240577869710384,0.0740376083362106,0.0608710421345256,-0.270289141453743,0.0908053322281774,0.0754499587169579,-0.213418962518547,0.0707589501020185,0.0595006872400327,0.00587915282721764,0.076226389076794,0.0709924807542287,0.00419026342684264,0.0888240259696775,0.0727584776301007,0.00587730342621995,0.0913852951047424,0.0620483378694353,0.0278805305829884,0.0937181812798549,0.0795435132038858,0.0347092469906131,0.0780633062913438,0.0699504298983135,0.0564116188306733,0.0621284356532837,0.0622121203985237
"ME9",-0.0472402591281679,-0.0309833960842946,-0.057154995673937,-0.0277339727478921,-0.0360859088480631,-0.035771225518933,-0.044030387970205,-0.0631016816791996,-0.0480877189017277,-0.0412885873035203,-0.0653411077853589,-0.0627013028768598,-0.0841362401088047,-0.0558922702607784,-0.0559762406149415,-0.0791396250613471,-0.0755177491924752,-0.0837350856208149,-0.065889718356027,-0.0532600650769834,-0.0409260540644405,-0.0657811083116724,-0.042683516796058,-0.0926290042492251,-0.0507993466051955,-0.0705720662245853,-0.0937511361718242,0.257407103150868,0.269699581950233,0.266396633948589,0.258000983532392,0.259246787193447,0.223190752193069,0.256550197444688,0.263484661930878,0.257190298097797,0.269397299454678,-0.0718924559528061,-0.0434212930739136,0.261150013994986,-0.101127410003192,-0.119956323429643,0.238871625078902,-0.0903647119362945,-0.0360763951820203,-0.0552235146535809,-0.0703891146080275,-0.0790388924735419,-0.0387694963360832,-0.0480073255258893,-0.103498229663299,-0.0552765297850101,-0.0782481506193237,-0.075959237544517,-0.0430270420502161,-0.0513606583660786,-0.0498175157190613,-0.0562305988237216,-0.0414676153728745,-0.0604646771201289,-0.0404700223004902,-0.0498237342077292,-0.0504652219897525
